candidate_id,fold,average_precision,pr_lift,roc_auc,fit_seconds,diagnostic_cutoff,precision_at_recall_floor,recall_at_recall_floor,false_positives_at_recall_floor,true_positives_at_recall_floor,false_negatives_at_recall_floor,true_negatives_at_recall_floor,alerts_at_recall_floor,alert_rate_at_recall_floor
V4-T1-01,1,0.3915755230883635,199.56882249193916,0.9846397973490132,36.54783789999783,0.8342748236023896,0.06698171358126155,0.800982800982801,4541,326,81,202482,4867,0.0234633370293593
V4-T1-01,2,0.29952981004254026,306.9385622442294,0.9778914486254981,39.062552399991546,0.12461708269757045,0.019031753243475186,0.8004246284501062,19432,377,94,462747,19809,0.04104216305811665
V4-T1-01,3,0.4179837571229527,392.30296519699385,0.9850303074064479,47.940724699990824,0.5169838090633757,0.050478410206084394,0.8005836575875487,15481,823,205,948331,16304,0.016898138551469672
V4-T1-02,1,0.3481683049646222,177.44607247865252,0.9829112389214407,38.2632442000031,0.9272510831909689,0.050115295926210605,0.800982800982801,6179,326,81,200844,6505,0.0313599768596635
V4-T1-02,2,0.25932830124887496,265.74268492095433,0.9774901982137361,43.42060469998978,0.5504591495926867,0.017693715680292862,0.8004246284501062,20930,377,94,461249,21307,0.044145861390241375
V4-T1-02,3,0.3356715927349687,315.04803456654395,0.9847006077528948,51.7524817000085,0.822772046833453,0.05106726234797716,0.8005836575875487,15293,823,205,948519,16116,0.01670328759172505
V4-T1-03,1,0.4045639735037672,206.18846443215338,0.9831186130003169,36.0195980000135,0.5371599187801096,0.06245210727969348,0.800982800982801,4894,326,81,202129,5220,0.02516511594272767
V4-T1-03,2,0.342165536637719,350.62886679022307,0.9718061090940455,43.02468579998822,0.09446433416284059,0.01362732694740647,0.8004246284501062,27288,377,94,454891,27665,0.057318968196415625
V4-T1-03,3,0.4398400375521103,412.8164025600954,0.983546849720648,52.45155689999228,0.39583831667072,0.04305068786943558,0.8005836575875487,18294,823,205,945518,19117,0.019813647858712324
V4-T1-04,1,0.407408515760528,207.63820251647743,0.9843664772923841,45.71324499999173,0.8498292292189864,0.059827491282804186,0.800982800982801,5123,326,81,201900,5449,0.026269102829870317
V4-T1-04,2,0.28032432403155155,287.258036080315,0.9768096997252507,43.632357099995716,0.32324676591084284,0.0216380646272169,0.8004246284501062,17046,377,94,465133,17423,0.03609862218999275
V4-T1-04,3,0.39801860794648153,373.5644685710926,0.9850497154853052,59.22625959999277,0.666763260645841,0.053137913223140494,0.8005836575875487,14665,823,205,949147,15488,0.016052402470876
V4-T1-05,1,0.4094886972968497,208.69837955844113,0.9845078697887323,44.18938149997848,0.8833430434470231,0.06080955045700429,0.800982800982801,5035,326,81,201988,5361,0.025844863327387554
V4-T1-05,2,0.32520522139254276,333.24904480915234,0.979146486414871,49.4743610000005,0.2892549891015962,0.022641282805837486,0.8004246284501062,16274,377,94,465905,16651,0.034499119444732204
V4-T1-05,3,0.4211451244076011,395.2700990597566,0.9852641288593651,49.62343959999271,0.631534909512868,0.0552311925374136,0.8005836575875487,14078,823,205,949734,14901,0.01544401144231168
V4-T1-06,1,0.35682965139280853,181.86037982410386,0.985285798521526,55.14828799999668,0.8098699764382957,0.0733408323959505,0.800982800982801,4119,326,81,202904,4445,0.02142891577881695
V4-T1-06,2,0.34186182061292725,350.31763846885207,0.9780296724385583,59.69312139999238,0.10502324504367783,0.024274032580001288,0.8004246284501062,15154,377,94,467025,15531,0.032178597327255774
V4-T1-06,3,0.4037446694002611,378.93872259158354,0.9848960515831744,69.62206619998324,0.5619063464471592,0.061358383657645565,0.8005836575875487,12590,823,205,951222,13413,0.013901786824758509
