candidate_id,fold,average_precision,pr_lift,roc_auc,fit_seconds,diagnostic_cutoff,precision_at_recall_floor,recall_at_recall_floor,false_positives_at_recall_floor,true_positives_at_recall_floor,false_negatives_at_recall_floor,true_negatives_at_recall_floor,alerts_at_recall_floor,alert_rate_at_recall_floor
V4-T2-R-01,1,0.39238071668901003,199.97919425749717,0.983172714456195,33.33298680000007,0.3345966114855115,0.06407232704402516,0.800982800982801,4762,326,81,202261,5088,0.02452875668900352
V4-T2-R-01,2,0.3364322368515296,344.75375608575536,0.9714892574824947,37.56716099998448,0.03886636607828951,0.01659330985915493,0.8004246284501062,22343,377,94,459836,22720,0.047073448668807624
V4-T2-R-01,3,0.45243710569556045,424.6395107580783,0.9826524597019671,41.93115599997691,0.1895488557774491,0.0339143693081139,0.8005836575875487,23444,823,205,940368,24267,0.02515132042618465
V4-T2-R-02,1,0.41674107710963143,212.39459858685711,0.9834005612807968,35.13802340000984,0.2247854816766679,0.06184784670840448,0.800982800982801,4945,326,81,202078,5271,0.02541098201803018
V4-T2-R-02,2,0.354462017853446,363.229496638993,0.970903073855161,38.9119631999929,0.018323750431439148,0.017659733932921116,0.8004246284501062,20971,377,94,461208,21348,0.04423080907489899
V4-T2-R-02,3,0.457406563070613,429.30364621892045,0.9821334017123737,44.01152000000002,0.10697130769437072,0.030711247107993132,0.8005836575875487,25975,823,205,937837,26798,0.027774553293810372
V4-T2-R-03,1,0.37951640967212136,193.42282274763667,0.982830724656512,31.058801299979677,0.5642716493221355,0.06020313942751616,0.800982800982801,5089,326,81,201934,5415,0.026105192113001975
V4-T2-R-03,2,0.32399842105734195,332.01239474166897,0.9718341180033004,34.68364889998338,0.10980891659121589,0.016730274252241058,0.8004246284501062,22157,377,94,460022,22534,0.04668807624572672
V4-T2-R-03,3,0.4229359417195453,396.9508891135078,0.9834961668743994,42.30583219998516,0.38102717642011985,0.04304393305439331,0.8005836575875487,18297,823,205,945515,19120,0.019816757182538038
V4-T2-R-04,1,0.40736163831701167,207.61431114520326,0.9840765950811695,30.21703240001807,0.517602462151785,0.061037258940273356,0.800982800982801,5015,326,81,202008,5341,0.02574844525864147
V4-T2-R-04,2,0.35923222985332326,368.11769795903706,0.9741290586515585,33.69187899999088,0.07457839811682072,0.01597186917471615,0.8004246284501062,23227,377,94,458952,23604,0.04890500362581581
V4-T2-R-04,3,0.4421019106480131,414.9393068770709,0.9825258406466113,32.31889639998553,0.3871863889335598,0.03753021113593871,0.8005836575875487,21106,823,205,942706,21929,0.02272812072467974
V4-T2-R-05,1,0.38904597756318227,198.2796243880366,0.9826603261366549,30.91589090001071,0.6367012464855855,0.06018091194388037,0.800982800982801,5091,326,81,201932,5417,0.026114833919876585
V4-T2-R-05,2,0.34865313035201784,357.2769285868395,0.9735060112310663,33.974075599981006,0.11395054045911841,0.018138953040800616,0.8004246284501062,20407,377,94,461772,20784,0.04306226043716979
V4-T2-R-05,3,0.4383106947607907,411.3810221138145,0.9833902048902089,41.533074099977966,0.34494776708482555,0.03370740498034076,0.8005836575875487,23593,823,205,940219,24416,0.025305750176195015
V4-T2-R-06,1,0.40207693635099084,204.92093097613275,0.983142889522857,35.70996189999278,0.5676167231425316,0.05931586608442504,0.800982800982801,5170,326,81,201853,5496,0.026495685291423612
V4-T2-R-06,2,0.3514338247507242,360.1264023692931,0.973002018186998,38.44011369999498,0.10622264747334316,0.01642701525054466,0.8004246284501062,22573,377,94,459606,22950,0.04754998446078939
V4-T2-R-06,3,0.44137627970887755,414.25825847695853,0.9836105680094448,48.46461630001431,0.39124663779333696,0.04125726889913776,0.8005836575875487,19125,823,205,944687,19948,0.02067493055843456
V4-T2-B-01,1,0.4114008030869215,209.67289578457033,0.9848213104928543,37.815095400001155,0.7625168380836619,0.06301952445389522,0.800982800982801,4847,326,81,202176,5173,0.024938533481174373
V4-T2-B-01,2,0.34994385436381087,358.599578150092,0.9784356497115191,42.14528959998279,0.07886293851095046,0.021525636633550303,0.8004246284501062,17137,377,94,465042,17514,0.03628716461203771
V4-T2-B-01,3,0.42811390630167656,401.81072116353073,0.9849303834800209,51.75609509999049,0.467338778372227,0.053752204297563846,0.8005836575875487,14488,823,205,949324,15311,0.01586895236515899
V4-T2-B-02,1,0.420275088467935,214.19572874914925,0.9846624241836368,47.92610079998849,0.7406803613742784,0.060136506179671645,0.800982800982801,5095,326,81,201928,5421,0.0261341175336258
V4-T2-B-02,2,0.35529881932404545,364.08699606528774,0.9786085621249739,41.59237500000745,0.10559242552997583,0.02091307483219615,0.8004246284501062,17650,377,94,464529,18027,0.037350046617631825
V4-T2-B-02,3,0.4258836639146105,399.71750417448715,0.9848349115172871,50.882887799991295,0.4228224749471761,0.0511688634667993,0.8005836575875487,15261,823,205,948551,16084,0.016670121470917457
V4-T2-B-03,1,0.4148276311146258,211.41939931721578,0.9848813282755404,29.82449239998823,0.8808471182080878,0.06020313942751616,0.800982800982801,5089,326,81,201934,5415,0.026105192113001975
V4-T2-B-03,2,0.3120389511409744,319.7571120343764,0.9790180157434552,31.636840599996503,0.26373745618190875,0.02176423045837663,0.8004246284501062,16945,377,94,465234,17322,0.03588936082047032
V4-T2-B-03,3,0.41297565592774443,387.6025601802771,0.9852637715718685,38.607716400001664,0.6118541399024242,0.05287164332519594,0.8005836575875487,14743,823,205,949069,15566,0.01613324489034451
V4-T2-B-04,1,0.40770628162049993,207.7899606794602,0.9850248392560117,28.62215449998621,0.8799861335090614,0.06133584195672625,0.800982800982801,4989,326,81,202034,5315,0.025623101769271562
V4-T2-B-04,2,0.33175046538603287,339.9561828419719,0.9783209325109502,30.871574999997392,0.2595843815747143,0.021243026990477264,0.8004246284501062,17370,377,94,464809,17747,0.036769916088262716
V4-T2-B-04,3,0.41164793500731967,386.35641401990495,0.9851934480061751,3534.4020249999885,0.6089894477883373,0.05573992549949204,0.8005836575875487,13942,823,205,949870,14765,0.0153030554288794
